date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:10	126924/126924	---M-Z	200	added ('OK')	text/html	etag:%2266449f-561da39f730a%22	https://www.india.gov.in/topics/agriculture/fisheries	C:/My%20Web%20Sites/bitm25/www.india.gov.in/topics/agriculture/fisheries.html	(from )
18:39:10	927/927	---M-Z	200	added ('OK')	text/plain	etag:%2295e-590c2be480780%22	https://www.india.gov.in/robots.txt		(from )
18:39:10	5428/5428	---M-Z	200	added ('OK')	text/css	etag:%221534-5e43e48cc3100%22	https://www.india.gov.in/modules/system/system.base.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/modules/system/system.basec09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
18:39:11	2035/2035	---M-Z	200	added ('OK')	text/css	etag:%227f3-5e43e48cc3100%22	https://www.india.gov.in/modules/system/system.menus.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/modules/system/system.menusc09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
18:39:11	961/961	---M-Z	200	added ('OK')	text/css	etag:%223c1-5e43e48cc3100%22	https://www.india.gov.in/modules/system/system.messages.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/modules/system/system.messagesc09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
18:39:11	20033/20033	---M-Z	200	added ('OK')	text/css	etag:%224e41-590c2ea638880%22	https://www.india.gov.in/sites/all/modules/contributed/calendar/css/calendar_multiday.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/sites/all/modules/contributed/calendar/css/calendar_multidayc09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
18:39:11	3733/3733	---M-Z	200	added ('OK')	text/css	etag:%22e95-590c2eadd9a80%22	https://www.india.gov.in/sites/all/modules/contributed/date/date_api/date.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/sites/all/modules/contributed/date/date_api/datec09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
18:39:11	3722/3722	---M-Z	200	added ('OK')	text/css	etag:%22e8a-590c2eace5840%22	https://www.india.gov.in/sites/all/modules/contributed/date/date_popup/themes/datepicker.1.7.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/sites/all/modules/contributed/date/date_popup/themes/datepicker.1.7c09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
18:39:12	2294/2294	---M-Z	200	added ('OK')	text/css	etag:%228f6-590c2eaecdcc0%22	https://www.india.gov.in/sites/all/modules/contributed/date/date_repeat_field/date_repeat_field.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/sites/all/modules/contributed/date/date_repeat_field/date_repeat_fieldc09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
18:39:12	550/550	---M--	200	added ('OK')	text/css	etag:%22226-5e43e48cc3100%22	https://www.india.gov.in/modules/field/theme/field.css?rg4z0h	C:/My%20Web%20Sites/bitm25/www.india.gov.in/modules/field/theme/fieldc09a.css	(from https://www.india.gov.in/topics/agriculture/fisheries)
